id,states,male,female,total
1,ABIA,1573578.103,1511869.158,3085447.262
2,ADAMAWA,1768632.06,1699273.94,3467906
3,AKWA/IBOM,2203744.059,2117322.724,4321066.783
4,ANAMBRA,2317402.488,2226523.959,4543926.446
5,BAUCHI,2627891.474,2524836.907,5152728.381
6,BAYELSA,948319.3746,911130.3795,1859449.754
7,BENUE,2373654.543,2280570.051,4654224.594
8,BORNO,2355695.931,2263315.698,4619011.628
9,"CROSS RIVER",1609535.012,1546415.992,3155951.004
10,DELTA,2308673.666,2218137.443,4526811.109
11,EBONYI,1207532.333,1160178.124,2367710.457
12,EDO,1788145.674,1718022.314,3506167.988
13,EKITI,1342709.391,1290054.121,2632763.512
14,ENUGU,1823547.436,1752035.772,3575583.209
15,GOMBE,1327703.001,1275636.216,2603339.217
16,IMO,2204883.292,2118417.28,4323300.572
17,JIGAWA,2426275.327,2331127.275,4757402.602
18,KADUNA,3411511.261,3277726.505,6689237.766
19,KANO,5293619.079,5086026.174,10379645.25
20,KATSINA,3237451.449,3110492.569,6347944.018
21,KEBBI,1822703.86,1751225.277,3573929.137
22,KOGI,1849331.719,1776808.907,3626140.626
23,KWARA,1319935.296,1268173.128,2588108.424
24,LAGOS,5116260.488,4915622.822,10031883.31
25,NASARAWA,1043166.362,1002257.878,2045424.24
26,NIGER,2233519.065,2145930.082,4379449.147
27,OGUN,2112168.702,2029338.557,4141507.259
28,ONDO,1931269.332,1855533.28,3786802.612
29,OSUN,1918236.781,1843011.809,3761248.591
30,OYO,3151896.784,3028292.989,6180189.773
31,PLATEAU,1773305.137,1703763.759,3477068.895
32,RIVERS,2936055.808,2820916.365,5756972.173
33,SOKOTO,2066200.159,1985172.701,4051372.86
34,TARABA,1276728.747,1226660.953,2503389.701
35,YOBE,1314951.287,1263384.57,2578335.858
36,ZAMFARA,1840717.079,1768532.095,3609249.174
37,"FCT ABUJA",947976.2891,910800.7483,1858777.037
